No,Material,Type,Shape,Coat/Functional Group,Synthesis_Method,Surface_Charge,Diameter (nm),Size_in_Water (nm),Zeta_in_Water (mV),Cell_Type,No_of_Cells (cells/well),Human_Animal,Cell_Source,Cell_Tissue,Cell_Morphology,Cell_Age,Cell Line_Primary Cell,Time (hr),Concentration (ug/ml),Test,Test_Indicator,Cell_Viability (%)
61,SiO2,I,Sphere,None,Commercial,Negative,10.0,7.0,-27,RAW264.7,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1.0,CellTiterBlue,AlamarBlue,107.59
62,SiO2,I,Sphere,None,Commercial,Negative,10.0,7.0,-27,RAW264.7,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,10.0,CellTiterBlue,AlamarBlue,100.81
63,SiO2,I,Sphere,None,Commercial,Negative,10.0,7.0,-27,RAW264.7,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,100.0,CellTiterBlue,AlamarBlue,70.11
64,SiO2,I,Sphere,None,Commercial,Negative,10.0,7.0,-27,RAW264.7,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1000.0,CellTiterBlue,AlamarBlue,22.617
65,SiO2,I,Sphere,None,Commercial,Negative,10.0,7.0,-27,RAV264.7,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1.0,XTT,TetrazoliumSalt,123.42
66,SiO2,I,Sphere,None,Commercial,Negative,10.0,7.0,-27,RAW264.7,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,10.0,XTT,TetrazoliumSalt,114.38
67,SiO2,I,Sphere,None,Commercial,Negative,10.0,7.0,-27,RAW264.7,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,100.0,XTT,TetrazoliumSalt,82.714
68,SiO2,I,Sphere,None,Commercial,Negative,10.0,7.0,-27,RAW264.7,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1000.0,XTT,TetrazoliumSalt,25.525
69,SiO2,I,Sphere,None,Commercial,Negative,10.0,7.0,-27,RAW264.7,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1.0,LDH,LDHrelease,4.5234
70,SiO2,I,Sphere,None,Commercial,Negative,10.0,7.0,-27,RAW264.7,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,10.0,LDH,LDHrelease,6.1389
71,SiO2,I,Sphere,None,Commercial,Negative,10.0,7.0,-27,RAW264.7,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,100.0,LDH,LDHrelease,22.294
72,SiO2,I,Sphere,None,Commercial,Negative,10.0,7.0,-27,RAW264.7,2600.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1000.0,LDH,LDHrelease,69.467
73,SiO2,I,Sphere,None,Commercial,Negative,10.0,7.0,-27,RAW264.7,6000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1.0,Live/Dead,PropidiumIodide,95.315
74,SiO2,I,Sphere,None,Commercial,Negative,10.0,7.0,-27,RAW264.7,6000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,10.0,Live/Dead,PropidiumIodide,86.268
75,SiO2,I,Sphere,None,Commercial,Negative,10.0,7.0,-27,RAW264.7,6000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,100.0,Live/Dead,PropidiumIodide,69.467
76,SiO2,I,Sphere,None,Commercial,Negative,10.0,7.0,-27,RAW264.7,6000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1000.0,Live/Dead,PropidiumIodide,9.6931
77,SiO2,I,Sphere,None,Commercial,Negative,10.0,7.0,-27,RAW264.7,6000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,1.0,Live/Dead,CalceinAM,94.023
78,SiO2,I,Sphere,None,Commercial,Negative,10.0,7.0,-27,RAW264.7,6000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,10.0,Live/Dead,CalceinAM,91.761
79,SiO2,I,Sphere,None,Commercial,Negative,10.0,7.0,-27,RAW264.7,6000.0,A,Mouse,Ascites,Monocyte/Macrophage,Adult,L,24,100.0,Live/Dead,CalceinAM,71.729
